1. the,le
208. file,208. Fichier
209. called,209. appelé
210. United,210. United
211. As,211. comme
212. Soviet,212. Soviétique
213. There,213.
214. second,214. deuxième
215. without,215. sans
216. want,216. Je veux
217. day,217. Jour
218. found,218. trouvé
219. month,219. mois
220. reported,220. signalé
221. see,221. Voir
222. development,222. Développement
223. help,223. Aide
224. cent,224. cent
225. public,225. public
226. today,226. Aujourd'hui
227. Co,227. CO
228. money,228. Argent
229. case,229. cas
230. interest,230. Intérêt
231. programs,231. Programmes
232. PC,232. PC
233. trading,233. trading
234. based,234.
235. five,235. cinq
236. cost,236. Coût
237. days,237. jours
238. large,238. Grand
239. problems,239. Problèmes
240. too,240. aussi
241. service,241. Service
242. line,242.
243. user,243. utilisateur
244. federal,244. fédéral
245. few,245. peu
246. At,246.
247. include,247. Inclure
248. told,248. Dit
249. does,249. fait
250. going,250. Aller
251. plan,251. Plan
252. C,252. C
253. technology,253. Technologie
254. increase,254. Augmentation
255. until,255. jusqu'à
256. performance,256. Performance
257. go,257. Allez
258. provide,258. Fournir
259. might,259. pourrait
260. results,260. Résultats
261. offer,261. Offre
262. least,262. le moins
263. run,263. Courir
264. small,264. petit
265. it's,265. C'est
266. operating,266. opération
267. current,267. Current
268. Windows,268. Windows
269. Bush,269. Bush
270. National,270. National
271. police,271. Police
272. different,272. différent
273. quarter,273. Quartier
274. my,274. Mon
275. memory,275. Mémoire
276. according,276. Selon
277. plans,277. Plans
278. long,278. Long
279. ago,279.
280. around,280. Autour
281. version,281. Version
282. disk,282. disque
283. rose,283. Rose
284. Friday,284. Vendredi
285. early,285. tôt
286. problem,286. Problème
287. think,287. Pensez
288. President,288. Président
289. process,289. Processus
290. One,290. Un
291. services,291. Services
292. costs,292. Coûts
293. oil,293. huile
294. home,294. Accueil
295. area,295. zone
296. higher,296.
297. Mr,297. M.
298. former,298.
299. Monday,299. lundi
300. however,300. Cependant
301. among,301. parmi
302. spokesman,302. porte-parole
303. board,303. Board
304. already,304. déjà
305. earlier,305. Plus tôt
306. announced,306. annoncé
307. standard,307. Standard
308. issue,308. Problème
309. rates,309. tarifs
310. Tuesday,310. Mardi
311. application,311. Application
312. within,312.
313. little,313. peu
314. economic,314. économique
315. When,315. Quand
316. members,316. membres
317. office,317. Bureau
318. files,318. Fichiers
319. recent,319.
320. States,320. États
321. later,321. Plus tard
322. Wednesday,322. Mercredi
323. better,323. Mieux
324. West,324. Ouest
325. past,325. passé
326. On,326. sur
327. show,327. Show
328. come,328. Venez
329. chief,329. chef
330. whether,330.
331. That,331. que
332. pay,332. Payer
333. change,333. Changer
334. know,334. Connaître
335. unit,335. unité
336. six,336. six
337. put,337.
338. agreement,338. Accord
339. cents,339. cents
340. Some,340. Certains
341. example,341. Exemple
342. Department,342. Département
343. Thursday,343. Jeudi
344. Pounds,344. livres
345. hard,345. dur
346. added,346. Ajouté
347. House,347. Maison
348. local,348. local
349. company's,349. d'entreprise
350. law,350. Loi
351. world,351. Monde
352. right,352. à droite
353. production,353. Production
354. You,354. Vous
355. value,355. Valeur
356. order,356. Commande
357. trade,357. Commerce
358. financial,358. Financière
359. possible,359. possible
360. far,360. loin
361. access,361. Accès
362. design,362. Concevoir
363. point,363. point
364. However,364. Cependant
365. political,365. politique
366. become,366. devenir
367. features,367. Caractéristiques
368. fell,368. est tombé
369. late,369. tard
370. It's,370. C'est
371. news,371. News
372. San,372. San
373. important,373. IMPORTANT
374. Systems,374. Systèmes
375. move,375. Déplacer
376. director,376. Directeur
377. military,377. militaire
378. total,378. Total
379. court,379. Court
380. here,380. Ici
381. foreign,381. étranger
382. began,382. a commencé
383. Washington,383. Washington
384. N,384. n
385. operations,385. Opérations
386. future,386. Future
387. best,387. Meilleur
388. average,388. Moyenne
389. growth,389. Croissance
390. tax,390. Taxe
391. lower,391. inférieur
392. meeting,392. Réunion
393. left,393. Gauche
394. drive,394. Drive
395. issues,395. Problèmes
396. give,396. Donner
397. us,397. États-Unis
398. country,398. Pays
399. official,399. officiel
400. big,400.
401. held,401. tenu
402. executive,402. exécutif
403. level,403. Niveau
404. general,404. Général
405. investment,405. Investissement
406. John,406. John
407. An,407. an
408. came,408. est venu
409. didn't,409. n'a pas
410. chairman,410. Président
411. US,411. États-Unis
412. find,412. Trouver
413. me,413. Moi
414. close,414. Fermer
415. June,415. juin
416. range,416. Range
417. given,417. donné
418. interface,418. Interface
419. These,419. ces
420. Bank,420. Banque
421. buy,421. Acheter
422. To,422.
423. Japanese,423. Japonais
424. real,424. réel
425. took,425. pris
426. place,426. Place
427. bank,427. Banque
428. making,428. Faire
429. includes,429. Comprend
430. result,430. Résultat
431. firm,431. Entreprise
432. With,432. avec
433. database,433. Base de données
434. model,434. modèle
435. reports,435. Rapports
436. half,436. moitié
437. every,437. Chaque
438. points,438. Points
439. March,439. mars
440. never,440. Jamais
441. enough,441. Assez
442. provides,442. Fournit
443. yesterday,443. Hier
444. times,444. fois
445. addition,445. Ajout
446. No,446. Non
447. life,447. La vie
448. common,448. Common
449. changes,449. Modifications
450. DOS,450. DOS
451. doesn't,451.
452. further,452.
453. top,453. Top
454. decision,454. Décision
455. compared,455. Comparé
456. likely,456. Probablement
457. due,457. Due
458. period,458. Période
459. open,459. Ouvert
460. markets,460. Marchés
461. call,461. Appel
462. capital,462. Capital
463. name,463. Nom
464. national,464. National
465. closed,465. fermé
466. recently,466. Récemment
467. proposed,467. proposé
468. single,468. Single
469. able,469. Capable
470. lot,470. Lot
471. sold,471. Vendu
472. South,472. Sud
473. package,473. Package
474. test,474. Test
475. customers,475. Clients
476. British,476. Britannique
477. cut,477. Couper
478. sell,478. Vendre
479. International,479. International
480. full,480. plein
481. running,481. Courir
482. equipment,482. Équipement
483. computers,483. Ordinateurs
484. index,484. Index
485. working,485. Travailler
486. Congress,486. Congrès
487. contract,487. Contrat
488. paper,488. Papier
489. workers,489. travailleurs
490. vice,490. Vice
491. study,491. Étude
492. others,492. Autres
493. System,493. Système
494. research,494. Recherche
495. low,495. Bas
496. makes,496. fait
497. Federal,497. Federal
498. city,498. Ville
499. May,499. mai
500. got,500. Got
501. family,501. Famille
502. policy,502. Politique
503. investors,503. Investisseurs
504. record,504. enregistrer
505. loss,505. Perte
506. received,506. reçu
507. April,507. avril
508. Exchange,508. Échange
509. code,509. code
510. graphics,510. Graphiques
511. agency,511. Agence
512. increased,512.
513. manager,513. Gestionnaire
514. keep,514. Gardez
515. look,515. Regardez
516. often,516. Souvent
517. designed,517. Conçu
518. European,518. Européen
519. earnings,519. Géré
520. environment,520. Environnement
521. July,521. juillet
522. job,522. Job
523. third,523. Troisième
524. water,524. Eau
525. net,525. net
526. banks,526. Banques
527. analysts,527. Analystes
528. strong,528.
529. party,529. Party
530. economy,530. Économie
531. away,531. Loin
532. dollar,532. Dollar
533. taken,533. pris
534. developed,534. développé
535. continue,535. Continuez
536. allow,536. Autoriser
537. Microsoft,537. Microsoft
538. key,538. Clé
539. either,539. soit
540. security,540. Sécurité
541. project,541. Projet
542. agreed,542. Convenu
543. though,543. Mais
544. Japan,544. Japon
545. rather,545.
546. countries,546. Pays
547. plant,547. Plante
548. along,548.
549. Apple,549. Apple
550. action,550. Action
551. After,551. après
552. screen,552. Écran
553. war,553. Guerre
554. processing,554. Traitement
555. employees,555. Employés
556. included,556. inclus
557. asked,557. A demandé
558. special,558. spécial
559. field,559. champ
560. energy,560. Énergie
561. old,561.
562. deal,562. Deal
563. offers,563. Offres
564. nearly,564. Presque
565. weeks,565. semaines
566. debt,566. dette
567. She,567. Elle
568. charges,568. Frais
569. Union,569. Union
570. needs,570. Besoins
571. effect,571. Effet
572. income,572. Revenu
573. uses,573. Utilisations
574. again,574. Encore une fois
575. Computer,575. Computer
576. East,576. EST
577. similar,577. similaire
578. Europe,578. Europe
579. near,579. Près de
580. create,580. Créer
581. form,581. Formulaire
582. main,582. principal
583. free,583. GRATUIT
584. largest,584.
585. return,585. retour
586. machine,586. Machine
587. hours,587. heures
588. yet,588. Pourtant
589. text,589. Texte
590. almost,590. Presque
591. All,591. Tout
592. man,592. Homme
593. required,593. requis
594. hardware,594. matériel
595. private,595. Privé
596. allows,596. Permet
597. killed,597. tué
598. international,598. International
599. known,599. connu
600. things,600. choses
601. base,601. Base
602. bonds,602. obligations
603. groups,603. Groupes
604. list,604. Liste
605. Mac,605. Mac
606. done,606. FAIT
607. means,607. signifie
608. additional,608. supplémentaire
609. gas,609. gaz
610. areas,610. zones
611. trying,611. Essayer
612. force,612. Force
613. isn't,613. n'est pas
614. funds,614. Fonds
615. lost,615. Perdu
616. once,616. Une fois
617. can't,617. Je ne peux pas
618. server,618. Serveur
619. Texas,619. Texas
620. OS,620. OS
621. City,621. Ville
622. calls,622. Appels
623. space,623. Espace
624. annual,624. annuel
625. color,625. Couleur
626. Sunday,626. Dimanche
627. networks,627. Réseaux
628. believe,628. croire
629. size,629. Taille
630. administration,630. Administration
631. states,631. États
632. functions,632. Fonctions
633. release,633. Libération
634. corporate,634.
635. T,635. t
636. across,636. à travers
637. needed,637. Besoin
638. miles,638. Miles
639. London,639. Londres
640. comment,640. Commentaire
641. building,641. Bâtiment
642. comes,642. vient
643. demand,643. Demande
644. stocks,644. Stocks
645. start,645. Démarrez
646. really,646. Vraiment
647. General,647. Général
648. cash,648.
649. campaign,649. Campagne
650. head,650. Tête
651. children,651. Enfants
652. went,652. est allé
653. LAN,653. LAN
654. probably,654. Probablement
655. marketing,655. Marketing
656. bill,656. Bill
657. night,657. nuit
658. While,658. Pendant
659. lines,659. lignes
660. saying,660. Dire
661. profit,661. Profit
662. series,662. série
663. State,663. État
664. potential,664. potentiel
665. Although,665. Bien que
666. tools,666. Outils
667. type,667. Type
668. amount,668. Montant
669. final,669. Final
670. sale,670. Vente
671. University,671. Université
672. drug,672. médicament
673. machines,673. Machines
674. North,674. Nord
675. budget,675. Budget
676. analysis,676. Analyse
677. Ms.,677. Mme
678. cases,678. Cas
679. California,679. Californie
680. car,680. voiture
681. following,681. suivant
682. ended,682. terminé
683. whose,683. dont
684. leaders,684. Leaders
685. vendors,685. vendeurs
686. Most,686. La plupart
687. statement,687. Déclaration
688. II,688. II
689. although,689. Bien que
690. certain,690. certain
691. operation,691. Fonctionnement
692. concern,692. Préoccupation
693. function,693. fonction
694. fact,694. FAIT
695. fall,695. Fall
696. air,696. Air
697. released,697. Sortie
698. German,698. allemand
699. itself,699. lui-même
700. exchange,700. Échange
701. J,701. J
702. personal,702. Personnel
703. something,703. Quelque chose
704. telephone,704. Téléphone
705. school,705. École
706. position,706. Position
707. previous,707. Précédent
708. bid,708.
709. won't,709. ne va pas
710. Stock,710. Stock
711. outside,711. à l'extérieur
712. Group,712. Groupe
713. rights,713. Droits
714. levels,714. niveaux
715. So,715.
716. Macintosh,716. Macintosh
717. involved,717.
718. always,718. Toujours
719. display,719. Affichage
720. source,720. Source
721. method,721. Méthode
722. leader,722.
723. language,723. langue
724. talks,724. Talks
725. terms,725. Conditions
726. quality,726. Qualité
727. Senate,727. Sénat
728. Many,728. beaucoup
729. communications,729. Communications
730. officer,730. Officier
731. estimated,731. estimé
732. Unix,732. Unix
733. D,733. D
734. led,734. LED
735. charge,735. Charge
736. black,736. noir
737. Germany,737. Allemagne
738. Software,738. Logiciel
739. senior,739. senior
740. reached,740. atteint
741. together,741. ensemble
742. eight,742. huit
743. selling,743. Vendre
744. rise,744. Rise
745. America,745. Amérique
746. difficult,746. Difficile
747. great,747. Super
748. standards,748. Normes
749. printer,749. Imprimante
750. having,750. Avoir
751. By,751. par
752. seen,752. Vu
753. various,753. Divers
754. speed,754. vitesse
755. considered,755. considéré
756. First,756. Premièrement
757. declined,757. refusé
758. latest,758. Dernier
759. central,759. Central
760. Calif,760. Californie
761. nuclear,761. nucléaire
762. currently,762. Actuellement
763. vote,763. Votez
764. existing,764. existant
765. above,765. ci-dessus
766. yen,766. Yen
767. His,767. Son
768. commercial,768. Commercial
769. clear,769. Clear
770. students,770. Étudiants
771. Court,771. Court
772. Service,772. Service
773. revenue,773. Revenus
774. Saturday,774. Samedi
775. pressure,775. Pression
776. effort,776. Effort
777. taking,777. Prendre
778. provided,778. fourni
779. present,779. Présent
780. meet,780. Rencontrez
781. conditions,781. Conditions
782. approach,782. Approche
783. output,783. Sortie
784. offering,784. Offrande
785. staff,785. Personnel
786. death,786. Mort
787. described,787. décrit
788. word,788. mot
789. women,789. femmes
790. profits,790. Profits
791. sources,791. Sources
792. easy,792. Facile
793. spending,793. dépenses
794. AT,794.
795. January,795. janvier
796. RAM,796. Ram
797. video,797. Vidéo
798. Robert,798. Robert
799. Reagan,799. Reagan
800. men,800. hommes
801. role,801. Rôle
802. technical,802. technique
803. died,803. Décédé
804. seven,804. sept
805. image,805. Image
806. course,806. Cours
807. Mrs.,807. Mme
808. conference,808. Conférence
809. television,809. télévision
810. offered,810. offert
811. significant,811.
812. sent,812. envoyé
813. remain,813. Rester
814. rule,814. Règle
815. Data,815. Données
816. paid,816. Payé
817. scheduled,817. planifié
818. December,818. Décembre
819. ability,819. Capacité
820. managers,820. Managers
821. Street,821. Street
822. Both,822.
823. basis,823. Base
824. units,824. Unités
825. side,825. côté
826. view,826. Voir
827. securities,827. Titres
828. complete,828. Compléter
829. proposal,829. proposition
830. food,830. Nourriture
831. lead,831.
832. assets,832. actifs
833. card,833. Carte
834. short,834. court
835. What,835. quoi
836. I'm,836. Je suis
837. credit,837. Crédit
838. doing,838. Faire
839. World,839. Monde
840. Air,840. Air
841. forces,841. Forces
842. September,842. Septembre
843. parts,843. Pièces
844. face,844. Face
845. Office,845. Bureau
846. question,846. Question
847. reduce,847. Réduire
848. Now,848. Maintenant
849. claims,849. réclamations
850. defense,850. Défense
851. fire,851. Feu
852. date,852. Date
853. White,853. blanc
854. efforts,854. efforts
855. structure,855. Structure
856. specific,856. Spécifique
857. require,857. Exiger
858. soon,858. bientôt
859. review,859. Revue
860. October,860. octobre
861. toward,861. vers
862. expect,862. Attendez-vous
863. figures,863. Figures
864. simple,864. Simple
865. member,865. membre
866. Dollars,866. dollars
867. looking,867. Regarder
868. jobs,868. Emplois
869. health,869. Santé
870. rules,870. Règles
871. works,871. fonctionne
872. hold,872. tenir
873. cannot,873. ne peut pas
874. R,874. R
875. gave,875. a donné
876. necessary,876. nécessaire
877. getting,877. Obtenir
878. limited,878. Limite
879. showed,879. montré
880. shows,880. montre
881. named,881. Nommé
882. thing,882. chose
883. capabilities,883. Capacités
884. Other,884. Autre
885. presented,885. Présenté
886. especially,886. en particulier
887. ever,887. Jamais
888. requirements,888. Exigences
889. committee,889. Comité
890. response,890. Réponse
891. supports,891. Supports
892. processor,892. Processeur
893. turn,893. tourner
894. volume,894. Volume
895. priced,895. Prix
896. bond,896. Bond
897. models,897. Modèles
898. insurance,898. Assurance
899. Commission,899. Commission
900. requires,900. Exige
901. won,901. Won
902. multiple,902. multiple
903. separate,903. Séparer
904. started,904. Démarré
905. Board,905. Conseil
906. Since,906. Depuis
907. via,907. via
908. book,908. Livre
909. options,909. Options
910. supply,910. Alimentation
911. troops,911. troupes
912. Two,912. deux
913. decided,913. décidé
914. created,914. Créé
915. continued,915. Suite
916. tests,916. Tests
917. let,917. Soit
918. begin,918. Commencer
919. became,919. est devenu
920. longer,920. Plus longtemps
921. hit,921.
922. house,922. maison
923. losses,923. Pertes
924. leading,924.
925. August,925. août
926. buying,926. Acheter
927. command,927. Commande
928. directly,928. directement
929. nation's,929. Nation
930. fiscal,930. Fiscal
931. X,931. x
932. develop,932. Développer
933. thought,933. pensée
934. account,934. compte
935. P,935. P
936. complex,936. Complexe
937. takes,937. prend
938. produce,938. Produire
939. try,939. Essayez
940. filed,940. Classé
941. Association,941. Association
942. wanted,942. recherché
943. discussed,943. Discuté
944. wants,944. veut
945. document,945. Document
946. below,946. ci-dessous
947. behind,947. derrière
948. Even,948. Même
949. businesses,949. Entreprises
950. James,950. James
951. shown,951. montré
952. training,952. Formation
953. department,953. Département
954. drives,954. Drives
955. firms,955.
956. growing,956. Growing
957. Last,957. Dernière
958. analyst,958. Analyste
959. team,959. Équipe
960. play,960. Jouez
961. press,961. Appuyez sur
962. why,962. Pourquoi
963. programming,963. Programmation
964. investigation,964. Enquête
965. union,965. Union
966. trial,966. Procès
967. reason,967. Raison
968. UK,968. Royaume-Uni
969. kind,969. Kind
970. feature,970. Fonctionnalité
971. light,971. Lumière
972. November,972. novembre
973. Democratic,973. démocrate
974. Manager,974. Gestionnaire
975. numbers,975. Nombres
976. turned,976. tourné
977. purchase,977. Achat
978. futures,978. Futures
979. seems,979. semble
980. Los,980. los
981. storage,981. Stockage
982. French,982. français
983. gain,983. Gain
984. planned,984. planifié
985. Party,985. Partie
986. inflation,986. Inflation
987. read,987. Lire
988. hand,988.
989. built,989. Construit
990. industrial,990. Industriel
991. David,991. David
992. strategy,992. Stratégie
993. authorities,993. Autorités
994. expects,994. attend
995. Committee,995. Comité
996. distribution,996. Distribution
997. runs,997. Runs
998. address,998. Adresse
999. cars,999. voitures
1000. particularly,1000. en particulier
1001. individual,1001. Individu
1002. center,1002. Centre
1003. legal,1003. légal
1004. documents,1004. documents
1005. p.m.,1005. p.m.
1006. brought,1006. amené
1007. effective,1007. efficace
1008. leave,1008. Partez
1009. newspaper,1009. journal
1010. quickly,1010. rapidement
1011. notes,1011. Notes
1012. written,1012. écrit
1013. build,1013. Construire
1014. Chicago,1014. Chicago
1015. that's,1015. C'est
1016. Western,1016. Western
1017. yield,1017. Rendement
1018. Management,1018. Gestion
1019. reduced,1019. réduit
1020. bring,1020. Apporter
1021. independent,1021. indépendant
1022. loans,1022. prêts
1023. moved,1023. Déplacé
1024. phone,1024. Téléphone
1025. remains,1025. Reste
1026. transfer,1026. Transfert
1027. approved,1027. Approuvé
1028. simply,1028. simplement
1029. nine,1029. neuf
1030. feel,1030. Sentez
1031. previously,1031. Auparavant
1032. dropped,1032. abandonné
1033. Center,1033. Centre
1034. failed,1034. Échec
1035. decline,1035. déclin
1036. biggest,1036. plus grand
1037. worth,1037. Vaut
1038. basic,1038. Basique
1039. benefits,1039. Avantages
1040. device,1040. Appareil
1041. matter,1041.
1042. County,1042. comté
1043. human,1043. humain
1044. electronic,1044. électronique
1045. add,1045. Ajouter
1046. condition,1046. Condition
1047. direct,1047. Direct
1048. aid,1048. Aide
1049. worked,1049. travaillé
1050. DEC,1050. Dec
1051. M,1051. M
1052. election,1052. Élection
1053. February,1053. Février
1054. original,1054. Original
1055. Under,1055.
1056. Also,1056. Aussi
1057. step,1057. Étape
1058. Jose,1058. Jose
1059. anything,1059. n'importe quoi
1060. letter,1060. Lettre
1061. Michael,1061. Michael
1062. idea,1062. Idée
1063. message,1063. Message
1064. history,1064. Histoire
1065. B,1065. b
1066. St,1066. ST
1067. themselves,1067. eux-mêmes
1068. allowed,1068. autorisé
1069. effects,1069. Effets
1070. introduced,1070. introduit
1071. term,1071. Terme
1072. competition,1072. Competition
1073. drop,1073. Drop
1074. caused,1074. causé
1075. front,1075. Front
1076. capacity,1076. Capacité
1077. According,1077. Selon
1078. stake,1078.
1079. solution,1079. Solution
1080. charged,1080. Chargé
1081. cause,1081. Cause
1082. PCs,1082. PCS
1083. greater,1083.
1084. box,1084. Boîte
1085. issued,1085. Émis
1086. evidence,1086. Preuve
1087. sure,1087. Bien sûr
1088. division,1088. Division
1089. beginning,1089. Début
1090. workstations,1090. Postes de travail
1091. helped,1091. Aidé
1092. region,1092. Région
1093. spent,1093. dépensé
1094. room,1094. Salle
1095. advantage,1095. Avantage
1096. you're,1096. Vous êtes
1097. Another,1097. Un autre
1098. planning,1098. Planification
1099. testing,1099. Test
1100. increases,1100. augmente
1101. William,1101. William
1102. fund,1102. Fonds
1103. instead,1103. à la place
1104. Canada,1104. Canada
1105. particular,1105. particulier
1106. produced,1106. produit
1107. overall,1107. Dans l'ensemble
1108. receive,1108. Recevoir
1109. activity,1109. Activité
1110. wife,1110. Épouse
1111. nothing,1111. Rien
1112. whole,1112. entier
1113. minutes,1113. Minutes
1114. L,1114. l
1115. mode,1115. Mode
1116. dollars,1116. dollars
1117. care,1117. CARE
1118. tried,1118. Essayé
1119. Its,1119. son
1120. Iraq,1120. Irak
1121. Lotus,1121. Lotus
1122. flow,1122. Flux
1123. fast,1123. Rapide
1124. Treasury,1124. Trésor
1125. chip,1125. Chip
1126. usually,1126. Habituellement
1127. serious,1127. sérieux
1128. values,1128. Valeurs
1129. types,1129. Types
1130. devices,1130. Appareils
1131. page,1131. Page
1132. consider,1132. Considérez
1133. customer,1133. Client
1134. holding,1134. Tenant
1135. construction,1135. Construction
1136. tool,1136. outil
1137. images,1137. Images
1138. powerful,1138. puissant
1139. opposition,1139. opposition
1140. Wall,1140. Mur
1141. Minister,1141. Ministre
1142. minister,1142. Ministre
1143. initial,1143. Initial
1144. fuel,1144. carburant
1145. coming,1145. Venant
1146. Americans,1146. Américains
1147. desktop,1147. Desktop
1148. developers,1148. développeurs
1149. window,1149. fenêtre
1150. contracts,1150. Contrats
1151. heavy,1151.
1152. attorney,1152. avocat
1153. rest,1153. Repos
1154. bad,1154. Mauvais
1155. George,1155. George
1156. game,1156. Jeu
1157. executives,1157. cadres
1158. versions,1158. Versions
1159. Y,1159. y
1160. bought,1160. Acheté
1161. IBM's,1161. IBM
1162. gives,1162. Donne
1163. changed,1163. Changé
1164. survey,1164. Enquête
1165. session,1165. Session
1166. consumer,1166. consommateur
1167. domestic,1167. domestique
1168. Israel,1168. Israël
1169. monitor,1169. Moniteur
1170. related,1170.
1171. Jones,1171. Jones
1172. facilities,1172. Installations
1173. mail,1173. Mail
1174. stores,1174. Magasins
1175. situation,1175. situation
1176. followed,1176. suivi
1177. methods,1177. Méthodes
1178. coal,1178. Charbon
1179. variety,1179. Variété
1180. determine,1180. Déterminer
1181. despite,1181. Malgré
1182. year's,1182.
1183. China,1183. Chine
1184. wasn't,1184. n'était pas
1185. hope,1185. Espoir
1186. utility,1186. Utilité
1187. option,1187. Option
1188. workstation,1188. Passe de travail
1189. judge,1189. Juge
1190. Sun,1190. Soleil
1191. smaller,1191. plus petit
1192. summer,1192. Été
1193. choice,1193. Choix
1194. records,1194. Records
1195. risk,1195. Risque
1196. resources,1196. Ressources
1197. manufacturing,1197. Fabrication
1198. moving,1198. Déplacer
1199. raised,1199.
1200. questions,1200. Questions
1201. larger,1201.
1202. strike,1202. Strike
1203. store,1203. Magasin
1204. published,1204. Publié
1205. faster,1205.
1206. section,1206. Section
1207. Network,1207. Réseau
1208. popular,1208. Populaire
1209. attack,1209. Attaque
1210. seeking,1210. Recherche
1211. subject,1211. Sujet
1212. met,1212. rencontré
1213. projects,1213. Projets
1214. raise,1214. Augmenter
1215. E,1215. E
1216. Services,1216. Services
1217. generally,1217. Généralement
1218. primary,1218. Primaire
1219. Information,1219. Informations
1220. property,1220. Propriété
1221. organization,1221. Organisation
1222. signed,1222. Signé
1223. orders,1223. Commandes
1224. packages,1224. Packages
1225. ahead,1225.
1226. impact,1226. Impact
1227. developing,1227. Développement
1228. young,1228. Jeune
1229. measure,1229. Mesure
1230. live,1230. Live
1231. obtained,1231. obtenu
1232. radio,1232. Radio
1233. print,1233. Imprimer
1234. entire,1234. entier
1235. experience,1235. Expérience
1236. slightly,1236. légèrement
1237. attempt,1237. Tentative
1238. de,1238. DE
1239. site,1239. site
1240. internal,1240. interne
1241. ways,1241. façons
1242. O,1242. o
1243. morning,1243. matin
1244. aren't,1244. ne sont pas
1245. Dukakis,1245. Dukakis
1246. request,1246. Demande
1247. joint,1247. Joint
1248. improve,1248. Améliorer
1249. plants,1249. Plantes
1250. Richard,1250. Richard
1251. community,1251. Communauté
1252. Democrats,1252. démocrates
1253. person,1253.
1254. deficit,1254. déficit
1255. resolution,1255. Résolution
1256. success,1256. Succès
1257. expensive,1257. Cher
1258. weapons,1258. Armes
1259. appear,1259. Apparaître
1260. white,1260. blanc
1261. activities,1261. Activités
1262. lets,1262. Permet
1263. woman,1263. Femme
